yr,q (kg/yr)
1960,1.83E+14
1961,2.17E+14
1962,2.72E+14
1963,3.26E+14
1964,3.27E+14
1965,3.80E+14
1966,4.11E+14
1967,4.00E+14
1968,4.42E+14
1969,4.07E+14
1970,4.91E+14
1971,4.36E+14
1972,5.07E+14
1973,4.84E+14
1974,4.60E+14
1975,4.88E+14
1976,5.03E+14
1977,5.89E+14
1978,5.10E+14
1979,5.23E+14
1980,6.13E+14
1981,5.29E+14
1982,5.80E+14
1983,5.91E+14
1984,5.53E+14
1985,6.23E+14
1986,6.64E+14
1987,5.83E+14
1988,6.17E+14
1989,6.12E+14
1990,6.57E+14
1991,7.06E+14
1992,6.96E+14
1993,7.38E+14
1994,7.34E+14
1995,6.96E+14
1996,6.55E+14
1997,6.54E+14
1998,6.84E+14
1999,6.48E+14
2000,6.74E+14
2001,7.59E+14
2002,7.84E+14
2003,7.86E+14
2004,6.75E+14
2005,6.99E+14
2006,8.25E+14
2007,7.15E+14
2008,7.02E+14
2009,7.94E+14
2010,7.65E+14
2011,8.25E+14
2012,8.50E+14
2013,7.27E+14
2014,8.45E+14
2015,7.98E+14
2016,7.88E+14
2017,8.73E+14
2018,8.93E+14
2019,8.36E+14
